song,genre,percentage
1,1,1.2759170653907497
2,1,2.4012393493415956
3,1,2.1750951604132682
4,1,1.7702758336764102
5,1,1.3552543879137968
6,1,1.2846246487354476
7,1,1.3677094796415659
8,1,1.5151515151515151
9,1,1.4715630385788148
10,1,1.4009014496284566
11,1,1.3405132905591202
12,1,1.3504683075582662
13,1,1.3849859494179044
14,1,1.39349701393497
15,1,1.5196767392832045
16,1,1.4937759336099585
17,1,1.4413558248198306
18,1,1.4662529092319627
19,1,1.4677250262093755
20,1,1.4303257964314093
21,1,1.4289797084881395
22,1,1.4391829155060354
23,1,1.4258064516129032
24,1,1.4002115875287822
25,1,1.360584991608727
26,1,1.3188205482607696
27,1,1.3635093601564683
28,1,1.3625013570730649
29,1,1.3558079882740932
30,1,1.328041520378568
31,1,1.30858791919594
32,1,1.2926426280493732
33,1,1.2914417887432537
34,1,1.288154578549426
35,1,1.2990515575133728
36,1,1.261870690776636
37,1,1.244971416472581
38,1,1.2372512957699382
39,1,1.2322004161736506
40,1,1.221128740710986
41,1,1.2460088778132543
42,1,1.2321114257289354
43,1,1.2247675209798141
44,1,1.199014307256611
45,1,1.1968182149894182
46,1,1.1918090216331394
47,1,1.1817310763334399
48,1,1.1759353235572043
49,1,1.1591725081210462
50,1,1.1546804605372936
51,1,1.1334397290167084
52,1,1.1399160061890177
53,1,1.1407311748608677
54,1,1.1351318800433579
55,1,1.129249312503657
56,1,1.120022916069894
57,1,1.1277876706520817
58,1,1.134732192159028
59,1,1.1320343964297377
60,1,1.143487502354239
61,1,1.1428722253015546
62,1,1.1357756390354963
63,1,1.1208601714256732
64,1,1.1246086412022542
65,1,1.1179940274932747
66,1,1.113525921222925
67,1,1.18071419983167
68,1,1.1892586161786742
69,1,1.179692437328839
70,1,1.1830445862850998
71,1,1.176713459950454
72,1,1.2058259004177487
73,1,1.2029335479831857
74,1,1.199893932028108
75,1,1.2109623964308476
76,1,1.2019700158382332
77,1,1.2015503875968991
78,1,1.212559564329476
79,1,1.2066492279132564
80,1,1.1996321685336901
81,1,1.2022130704272225
82,1,1.195891567009036
83,1,1.1834678642956848
84,1,1.1876054979503254
85,1,1.2288329065173802
86,1,1.2218118959691993
87,1,1.2135969234931494
88,1,1.208865010073875
89,1,1.2213393009539342
90,1,1.219535075704985
91,1,1.210995542347697
92,1,1.2069505610938105
93,1,1.2037376328325393
94,1,1.1954929373677452
95,1,1.185834376676802
96,1,1.1839353443692178
97,1,1.1792245278701798
98,1,1.1766559857120344
99,1,1.1742806443756306
100,1,1.1633701647964532
101,1,1.1554300105503184
102,1,1.1549324188016945
103,1,1.1503848529878282
104,1,1.1493299721374552
105,1,1.1481720110356677
106,1,1.1730014173767127
107,1,1.2071105094360908
108,1,1.2060963271074567
109,1,1.202625652819702
110,1,1.197196498794875
111,1,1.1927211012634358
112,1,1.188097171048523
113,1,1.1868561499317363
114,1,1.1849952105799832
115,1,1.1847720584836767
116,1,1.1805852526116438
117,1,1.178492138316961
118,1,1.1803773584905661
119,1,1.1801139524045763
120,1,1.1800113233409815
121,1,1.1840625185009768
122,1,1.1803740787503303
123,1,1.1761276688770677
124,1,1.173875821640524
125,1,1.1800089220186787
126,1,1.1961482880485328
127,1,1.2008346226455267
128,1,1.2126418974113404
129,1,1.2249225703842184
130,1,1.2273234431174842
131,1,1.2627634151640235
132,1,1.2603110209601083
133,1,1.2561192102856529
134,1,1.2541227790190446
135,1,1.257395470729157
136,1,1.257472414610381
137,1,1.2562320888784202
138,1,1.2550617796698162
139,1,1.2544130769330248
140,1,1.2555201807538257
141,1,1.2554167728778995
142,1,1.2503008576025134
143,1,1.2466281795951295
144,1,1.2439590786418124
145,1,1.2383939461827596
146,1,1.2381709346513996
147,1,1.235606238636504
148,1,1.2341569265670462
149,1,1.2296790329303875
150,1,1.2294630732906793
151,1,1.2310237446477228
152,1,1.2302327270966025
153,1,1.224691120387859
154,1,1.222933601899144
155,1,1.2191194188307428
156,1,1.218815463721196
157,1,1.216406684906845
158,1,1.214689598998973
159,1,1.205495469161064
160,1,1.202015383004224
161,1,1.196498279167533
162,1,1.1941878257268093
163,1,1.1939752284449732
164,1,1.200927989810308
165,1,1.2074891461649784
166,1,1.2075607722981954
167,1,1.2061501383557975
168,1,1.2052617521367521
169,1,1.2020828717039662
170,1,1.201423581944383
171,1,1.2035942041799756
172,1,1.196363755990043
173,1,1.192684576940704
174,1,1.1899587046294284
175,1,1.1905537105771526
176,1,1.1895381094763657
177,1,1.1888480880436771
178,1,1.1865552348971689
179,1,1.1826810280473499
180,1,1.184230091127302
181,1,1.1834006081217092
182,1,1.1790466565605526
183,1,1.1827494731102748
184,1,1.179023810020659
185,1,1.176996579223723
186,1,1.1744394016148543
187,1,1.1721928658982521
188,1,1.169446667076999
189,1,1.1710658545089112
190,1,1.1680501526429177
191,1,1.1666021947594518
